-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1984 through 12/31/2025 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS2M_MIN     MERRA-2 Wind Speed at 2 Meters Minimum (m/s) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
WS2M_MIN,1984,20.5,88.75,0.13,0.12,0.12,0.47,2.26,1.0,2.84,0.17,0.07,0.08,0.53,0.28,0.07
WS2M_MIN,1984,20.5,89.375,0.06,0.09,0.25,0.33,2.09,1.16,2.97,0.1,0.09,0.21,0.24,0.08,0.06
WS2M_MIN,1984,20.5,90.0,0.15,0.16,0.13,0.76,2.24,2.85,1.61,0.38,0.28,0.23,0.19,0.21,0.13
WS2M_MIN,1984,20.5,90.625,0.23,0.28,0.15,0.35,2.47,3.29,1.66,1.05,0.15,0.36,0.43,0.48,0.15
WS2M_MIN,1984,20.5,91.25,0.44,0.41,0.3,0.05,3.28,3.03,0.31,0.66,0.27,0.78,0.41,0.44,0.05
WS2M_MIN,1984,20.5,91.875,0.37,0.32,0.1,0.33,2.56,2.04,0.41,0.44,0.31,0.51,0.43,0.31,0.1
WS2M_MIN,1984,20.5,92.5,0.19,0.62,0.21,0.33,1.5,0.89,0.58,0.47,0.21,0.19,0.37,0.12,0.12
WS2M_MIN,1984,21.0,88.75,0.14,0.08,0.38,0.92,2.46,0.68,2.39,0.3,0.08,0.04,0.03,0.24,0.03
WS2M_MIN,1984,21.0,89.375,0.05,0.07,0.22,0.46,1.95,0.64,2.68,0.58,0.14,0.17,0.03,0.2,0.03
WS2M_MIN,1984,21.0,90.0,0.13,0.08,0.18,0.22,1.72,1.57,1.88,0.55,0.2,0.09,0.16,0.2,0.08
WS2M_MIN,1984,21.0,90.625,0.21,0.13,0.16,0.64,1.31,3.01,0.87,1.28,0.18,0.08,0.12,0.15,0.08
WS2M_MIN,1984,21.0,91.25,0.44,0.12,0.05,0.29,3.35,2.76,0.68,1.26,0.2,0.54,0.19,0.43,0.05
WS2M_MIN,1984,21.0,91.875,0.81,0.77,0.12,0.7,2.32,1.48,0.87,0.08,0.16,0.91,0.87,0.18,0.08
