Date,rainfall
1/1/2015,1.8866
1/6/2015,2.2877
1/11/2015,2.1787
1/16/2015,2.0582
1/21/2015,1.8493
1/26/2015,2.1175
2/1/2015,0.8134
2/6/2015,0.715
2/11/2015,0.8391
2/16/2015,4.8807
2/21/2015,0.8985
2/26/2015,1.6739
3/1/2015,2.7373
3/6/2015,2.3032
3/11/2015,1.9681
3/16/2015,1.7202
3/21/2015,2.6163
3/26/2015,19.3727
4/1/2015,11.1957
4/6/2015,7.0003
4/11/2015,4.2201
4/16/2015,3.9364
4/21/2015,14.4235
4/26/2015,8.4507
5/1/2015,14.5365
5/6/2015,14.6353
5/11/2015,22.2302
5/16/2015,11.6218
5/21/2015,9.7111
5/26/2015,21.2133
6/1/2015,5.8201
6/6/2015,24.2196
6/11/2015,49.7281
6/16/2015,13.6501
6/21/2015,109.5995
6/26/2015,16.4835
7/1/2015,16.3177
7/6/2015,155.0175
7/11/2015,33.3423
7/16/2015,85.8205
7/21/2015,106.5103
7/26/2015,152.2387
8/1/2015,30.4729
8/6/2015,31.506
8/11/2015,20.7064
8/16/2015,59.2376
8/21/2015,21.9046
8/26/2015,56.9925
9/1/2015,58.5196
9/6/2015,6.9765
9/11/2015,11.0887
9/16/2015,47.051
9/21/2015,62.5046
9/26/2015,0.6784
10/1/2015,3.0828
10/6/2015,11.7456
10/11/2015,4.5188
10/16/2015,3.4111
10/21/2015,7.8591
10/26/2015,4.8783
11/1/2015,1.407
11/6/2015,0.8532
11/11/2015,0.7679
11/16/2015,0.7849
11/21/2015,0.6891
11/26/2015,0.3929
12/1/2015,0.5096
12/6/2015,0.1176
12/11/2015,0
12/16/2015,0
12/21/2015,0.119
12/26/2015,0.6676
1/1/2016,1.4694
1/6/2016,1.6175
1/11/2016,1.5537
1/16/2016,2.3136
1/21/2016,1.9393
1/26/2016,1.3853
2/1/2016,0.8583
2/6/2016,0.8349
2/11/2016,0.868
2/16/2016,0.8552
2/21/2016,1.1555
2/26/2016,2.7138
3/1/2016,1.9932
3/6/2016,2.6496
3/11/2016,1.5797
3/16/2016,1.8271
3/21/2016,1.5114
3/26/2016,20.797
4/1/2016,13.4836
4/6/2016,1.1073
4/11/2016,1.0875
4/16/2016,2.2824
4/21/2016,1.1091
4/26/2016,1.5153
5/1/2016,12.7719
5/6/2016,24.1548
5/11/2016,30.064
5/16/2016,21.6072
5/21/2016,13.6445
5/26/2016,37.3097
6/1/2016,8.3644
6/6/2016,4.418
6/11/2016,25.0806
6/16/2016,28.6086
6/21/2016,32.628
6/26/2016,18.5087
7/1/2016,139.6962
7/6/2016,28.6432
7/11/2016,39.6495
7/16/2016,96.648
7/21/2016,56.6485
7/26/2016,40.8455
8/1/2016,24.6449
8/6/2016,32.9565
8/11/2016,49.3803
8/16/2016,14.2584
8/21/2016,58.8892
8/26/2016,30.3347
9/1/2016,57.2296
9/6/2016,14.2578
9/11/2016,34.3789
9/16/2016,69.8644
9/21/2016,50.43
9/26/2016,26.2636
10/1/2016,11.0547
10/6/2016,35.553
10/11/2016,14.6204
10/16/2016,2.9338
10/21/2016,3.5408
10/26/2016,17.8887
11/1/2016,4.6809
11/6/2016,1.1005
11/11/2016,0.7679
